severity,ppt,tmax,vpdmax,fuel_model,vegetation_type,canopy_cover,slope_deg,aspect_deg,elevation_m,treated,fire,x,y,fuel_model_group,vegetation_type_group
-12,3.9799,33.2933,43.3564,189,7027,45,1,-1,1267,1,Antelope_2021,-121.98906728145074,41.377530743793436,Timber Litter,Tree
-28,3.6072,31.531898,39.796497,165,7027,45,15,207,1466,0,Antelope_2021,-121.99883279051166,41.403335652740246,Timber-Understory,Tree
-33,3.6072,31.531898,39.796497,184,7032,55,8,246,1628,0,Antelope_2021,-122.00860545698495,41.429140456764735,Timber Litter,Tree
33,3.3467,28.680698,33.6918,184,7032,45,4,67,1949,0,Antelope_2021,-122.01838528853533,41.45494516108528,Timber Litter,Tree
-20,4.2797,29.464699,35.0359,189,7172,35,3,11,1772,0,Antelope_2021,-122.02817229283829,41.480749770926124,Timber Litter,Tree
20,4.2797,29.464699,35.0359,184,7032,55,19,307,2034,0,Antelope_2021,-122.03796647757979,41.506554291518256,Timber Litter,Tree
60,5.2865,31.164799,39.3793,184,7032,65,3,9,1586,0,Antelope_2021,-122.04776785045665,41.532358728098494,Timber Litter,Tree
13,5.2865,31.164799,39.3793,165,7172,0,2,-1,1540,0,Antelope_2021,-122.05757641917619,41.55816308591022,Timber-Understory,Tree
-9,5.6099,32.3611,41.8816,188,7158,55,3,275,1504,0,Antelope_2021,-122.06739219145663,41.58396737020285,Timber Litter,Tree
31,6.5063996,33.0461,43.6599,165,7172,35,8,65,1558,1,Antelope_2021,-122.07721517502678,41.60977158623239,Timber-Understory,Tree
-65,6.5063996,33.0461,43.6599,122,7027,25,4,332,1551,1,Antelope_2021,-122.08704537762623,41.635575739261014,Grass-Shrub,Tree
-4,7.7118998,33.2147,44.021,189,7027,35,0,-1,1507,1,Antelope_2021,-122.09688280700534,41.661379834557344,Timber Litter,Tree
-3,7.7672997,32.8483,42.9638,122,7017,35,1,-1,1599,1,Antelope_2021,-122.10672747092526,41.68718387739634,Grass-Shrub,Tree
-10,12.567599,33.0256,43.2761,189,7027,45,13,66,1634,0,Antelope_2021,-122.11657937715796,41.71298787305943,Timber Litter,Tree
-144,17.237,32.7118,42.3644,122,7031,25,4,254,1691,0,Antelope_2021,-122.12643853348614,41.738791826834415,Grass-Shrub,Tree
-81,17.237,32.7118,42.3644,122,7031,25,8,185,1829,0,Antelope_2021,-122.13630494770342,41.76459574401561,Grass-Shrub,Tree
-7,28.604,29.0985,33.5613,122,7032,25,15,132,2117,0,Antelope_2021,-122.14617862761423,41.79039962990382,Grass-Shrub,Tree
-21,3.8411,33.3469,43.538498,189,7027,45,6,220,1311,1,Antelope_2021,-121.95426197712706,41.384764370605936,Timber Litter,Tree
-49,3.5923,31.643099,40.1497,189,7027,45,4,141,1434,0,Antelope_2021,-121.96401573695024,41.410572108471065,Timber Litter,Tree
3,3.5923,31.643099,40.1497,184,7032,55,14,148,1715,0,Antelope_2021,-121.97377664704399,41.43637974511441,Timber Litter,Tree
-77,3.3467,28.680698,33.6918,184,7032,45,27,254,2175,0,Antelope_2021,-121.98354471506758,41.46218728576048,Timber Litter,Tree
576,4.2388,28.1166,32.3233,122,7032,45,34,213,2216,0,Antelope_2021,-121.99331994869092,41.48799473563982,Grass-Shrub,Tree
67,4.2388,28.1166,32.3233,187,7032,65,24,298,1901,0,Antelope_2021,-122.00310235559458,41.513802099989356,Timber Litter,Tree
9,5.1475997,27.8932,31.955898,122,7032,35,28,216,2265,0,Antelope_2021,-122.01289194346977,41.53960938405229,Grass-Shrub,Tree
-31,5.8561,31.956,40.6686,184,7032,45,7,358,1935,0,Antelope_2021,-122.02268872001841,41.565416593078005,Timber Litter,Tree
-28,5.8561,31.956,40.6686,165,7027,55,9,11,1543,0,Antelope_2021,-122.0324926929531,41.591223732322334,Timber-Understory,Tree
-6,6.5848,32.6069,41.7803,165,7031,35,9,140,1505,0,Antelope_2021,-122.04230386999718,41.61703080704737,Timber-Understory,Tree
58,6.5848,32.6069,41.7803,165,7031,25,6,124,1500,1,Antelope_2021,-122.05212225888476,41.6428378225215,Timber-Understory,Tree
96,7.8671,32.3878,41.5895,188,7299,35,1,-1,1484,1,Antelope_2021,-122.06194786736067,41.668644784019726,Timber Litter,Developed
-593,10.658999,33.402798,44.2803,122,7196,0,7,61,1558,1,Antelope_2021,-122.07178070318052,41.69445169682334,Grass-Shrub,Shrub
56,10.658999,33.402798,44.2803,189,7027,35,5,314,1591,0,Antelope_2021,-122.0816207741107,41.72025856621992,Timber Litter,Tree
-30,10.5744,32.9059,42.4279,165,7031,45,9,284,1706,0,Antelope_2021,-122.09146808792849,41.74606539750361,Timber-Understory,Tree
-211,8.2574,32.9167,42.5195,122,7662,0,1,-1,1316,0,Antelope_2021,-122.10132265242186,41.77187219597502,Grass-Shrub,Herb
-81,19.8366,32.938198,43.0023,165,7031,45,12,21,1482,0,Antelope_2021,-122.11118447538976,41.797678966941334,Timber-Understory,Tree
-5,3.816,32.9081,42.6529,165,7027,45,8,162,1352,0,Antelope_2021,-121.91944953018326,41.391988594349556,Timber-Understory,Tree
-29,3.3081,32.2578,41.618,184,7032,55,11,165,1661,0,Antelope_2021,-121.92919153312003,41.41779915849393,Timber Litter,Tree
-41,3.4692998,28.1967,32.669,184,7032,55,4,109,1894,0,Antelope_2021,-121.93894067917496,41.44360962511465,Timber Litter,Tree
-94,3.4692998,28.1967,32.669,99,9213,0,35,194,2031,0,Antelope_2021,-121.94869697600186,41.469419999442316,Non-Burnable,Sparse
97,3.9371,29.005299,34.4604,184,7032,55,3,152,1675,0,Antelope_2021,-121.95846043126507,41.495230286713735,Timber Litter,Tree
335,5.1514997,29.285099,34.858997,122,7032,35,12,91,2080,0,Antelope_2021,-121.96823105263962,41.521040492171906,Grass-Shrub,Tree
36,5.1514997,29.285099,34.858997,122,7032,35,4,117,1927,0,Antelope_2021,-121.97800884781124,41.54685062106616,Grass-Shrub,Tree
16,6.2416,31.8774,40.3076,184,7032,55,13,1,1747,0,Antelope_2021,-121.9877938244763,41.57266067865228,Timber Litter,Tree
-70,6.2416,31.8774,40.3076,122,7662,0,0,-1,1426,0,Antelope_2021,-121.99758599034195,41.59847067019214,Grass-Shrub,Herb
